Skin_Type,Product_Name,Concern,product_url,product_pic,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Gender_Target,Packaging_Type,Ingredients,Cruelty_Free,Country_of_Origin
Oily,Magic Foundation,General skincare,No URL available,No Image,Sisley,Mascara,Monthly,19.66,2.0,3201.0,250ml,Unisex,Stick,Vitamin C,True,Italy
Oily,Magic Foundation,General skincare,No URL available,No Image,Tarte,Moisturizer,Daily,104.36,1.6,4145.0,50ml,Male,Jar,Shea Butter,True,USA
Oily,Magic Foundation,General skincare,No URL available,No Image,E.l.f.,Eyeliner,Monthly,126.77,1.8,7731.0,200ml,Unisex,Compact,Salicylic Acid,False,South Korea
Oily,Magic Foundation,General skincare,No URL available,No Image,Urban Decay,Eyeliner,Occasional,101.83,2.1,2963.0,200ml,Female,Bottle,Salicylic Acid,True,Italy
Oily,Magic Foundation,General skincare,No URL available,No Image,Make Up For Ever,Blush,Daily,109.86,1.1,6691.0,150ml,Male,Spray,Hyaluronic Acid,True,UK
Oily,Magic Foundation,General skincare,No URL available,No Image,Farsali,Foundation,Monthly,120.42,3.8,2677.0,30ml,Female,Tube,Vitamin C,True,Italy
Oily,Magic Foundation,General skincare,No URL available,No Image,Bobby Brown,BB Cream,Weekly,102.24,2.6,2299.0,250ml,Female,Jar,Glycerin,True,USA
Oily,Magic Foundation,General skincare,No URL available,No Image,Yves Saint Laurent,Lipstick,Weekly,23.28,2.6,3346.0,50ml,Male,Spray,Retinol,False,France
Oily,Magic Foundation,General skincare,No URL available,No Image,Pat McGrath Labs,Concealer,Monthly,110.46,3.7,9869.0,30ml,Female,Stick,Shea Butter,True,UK
Oily,Magic Foundation,General skincare,No URL available,No Image,Drunk Elephant,Serum,Weekly,25.07,3.0,455.0,50ml,Unisex,Compact,Salicylic Acid,False,Italy
Oily,Magic Foundation,General skincare,No URL available,No Image,RMS Beauty,Cleanser,Occasional,89.92,3.1,1935.0,30ml,Male,Spray,Salicylic Acid,True,Italy
Oily,Magic Foundation,General skincare,No URL available,No Image,Rare Beauty,Serum,Weekly,15.3,3.3,7211.0,200ml,Female,Spray,Shea Butter,True,South Korea
Oily,Magic Foundation,General skincare,No URL available,No Image,Bite Beauty,Mascara,Occasional,121.7,2.7,7114.0,200ml,Male,Stick,Glycerin,False,Australia
Oily,Magic Foundation,General skincare,No URL available,No Image,KVD Beauty,Lip Gloss,Weekly,144.09,3.4,7703.0,150ml,Unisex,Compact,Aloe Vera,True,Australia
Oily,Magic Foundation,General skincare,No URL available,No Image,Ilia Beauty,Serum,Occasional,130.74,4.8,1903.0,30ml,Male,Stick,Retinol,False,Italy
Oily,Magic Foundation,General skincare,No URL available,No Image,NARS,Cleanser,Monthly,103.54,1.2,9669.0,50ml,Unisex,Compact,Hyaluronic Acid,True,France
Oily,Magic Foundation,General skincare,No URL available,No Image,Rare Beauty,Bronzer,Weekly,48.39,4.8,2014.0,250ml,Unisex,Stick,Salicylic Acid,True,UK
Oily,Magic Foundation,General skincare,No URL available,No Image,Tarte,Eye Shadow,Weekly,134.24,1.7,4744.0,50ml,Unisex,Spray,Salicylic Acid,False,Australia
Oily,Magic Foundation,General skincare,No URL available,No Image,Laura Mercier,Primer,Monthly,93.66,4.9,6006.0,30ml,Male,Stick,Aloe Vera,True,France
Oily,Magic Foundation,General skincare,No URL available,No Image,Too Faced,Cleanser,Monthly,108.24,2.0,6589.0,200ml,Female,Stick,Aloe Vera,True,UK
Oily,Magic Foundation,General skincare,No URL available,No Image,Too Faced,Cleanser,Daily,46.68,4.2,7524.0,250ml,Male,Jar,Aloe Vera,True,Germany
Oily,Magic Foundation,General skincare,No URL available,No Image,Danessa Myricks,Concealer,Monthly,138.57,2.4,3684.0,30ml,Male,Bottle,Glycerin,True,Germany
Oily,Magic Foundation,General skincare,No URL available,No Image,Becca,Serum,Weekly,52.53,3.8,1292.0,100ml,Female,Jar,Vitamin C,True,UK
Oily,Magic Foundation,General skincare,No URL available,No Image,Shiseido,Foundation,Monthly,35.39,3.7,6461.0,50ml,Unisex,Spray,Salicylic Acid,True,France
Oily,Magic Foundation,General skincare,No URL available,No Image,Tatcha,Bronzer,Monthly,14.97,3.1,8769.0,50ml,Female,Bottle,Retinol,False,Italy
Oily,Magic Foundation,General skincare,No URL available,No Image,Tatcha,Foundation,Weekly,75.65,4.0,1371.0,250ml,Female,Compact,Vitamin C,True,South Korea
Oily,Magic Foundation,General skincare,No URL available,No Image,Hourglass,Moisturizer,Occasional,23.62,3.1,6825.0,200ml,Unisex,Stick,Shea Butter,False,UK
Oily,Magic Foundation,General skincare,No URL available,No Image,Perricone MD,Foundation,Occasional,93.55,2.9,2260.0,30ml,Male,Stick,Aloe Vera,False,Italy
Oily,Magic Foundation,General skincare,No URL available,No Image,RMS Beauty,Lipstick,Monthly,17.18,2.0,3577.0,30ml,Female,Spray,Glycerin,True,USA
Oily,Magic Foundation,General skincare,No URL available,No Image,Anastasia Beverly Hills,Primer,Weekly,119.13,4.5,6664.0,250ml,Male,Stick,Hyaluronic Acid,True,South Korea
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Charlotte Tilbury,Highlighter,Occasional,23.41,2.6,9822.0,200ml,Unisex,Spray,Salicylic Acid,False,UK
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Shiseido,Makeup Remover,Occasional,88.35,1.6,2166.0,50ml,Female,Tube,Shea Butter,True,South Korea
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Anastasia Beverly Hills,Blush,Weekly,109.49,1.2,2413.0,30ml,Male,Tube,Retinol,True,France
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Yves Saint Laurent,Concealer,Monthly,77.11,3.2,3223.0,200ml,Female,Tube,Aloe Vera,True,UK
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Bourjois,Makeup Remover,Occasional,35.37,4.7,8337.0,50ml,Female,Jar,Vitamin C,False,Australia
Sensitive,Magic Foundation,General skincare,No URL available,No Image,NARS,Concealer,Weekly,115.64,2.2,3172.0,250ml,Female,Compact,Glycerin,True,UK
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Huda Beauty,Concealer,Daily,13.1,3.2,1215.0,200ml,Male,Tube,Glycerin,True,Germany
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Charlotte Tilbury,Eyeliner,Daily,99.07,4.2,7562.0,50ml,Unisex,Compact,Shea Butter,True,Japan
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Urban Decay,Serum,Monthly,54.63,3.1,3111.0,50ml,Female,Compact,Vitamin C,False,Japan
Sensitive,Magic Foundation,General skincare,No URL available,No Image,RMS Beauty,Exfoliator,Occasional,50.65,1.1,3968.0,30ml,Male,Tube,Retinol,False,USA
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Morphe,BB Cream,Occasional,77.03,3.0,4195.0,50ml,Female,Bottle,Hyaluronic Acid,True,USA
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Drunk Elephant,Lipstick,Weekly,45.99,1.3,7592.0,30ml,Female,Compact,Hyaluronic Acid,True,Germany
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Fenty Beauty,Exfoliator,Weekly,78.5,3.4,4760.0,150ml,Female,Jar,Shea Butter,False,Italy
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Tarte,Moisturizer,Monthly,50.75,4.6,693.0,250ml,Male,Spray,Vitamin C,False,Japan
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Ilia Beauty,Eye Shadow,Daily,110.53,3.7,9614.0,30ml,Male,Spray,Vitamin C,False,UK
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Tarte,Blush,Daily,102.88,4.3,160.0,250ml,Unisex,Tube,Vitamin C,False,Germany
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Too Faced,Serum,Occasional,40.89,4.7,4529.0,50ml,Female,Jar,Hyaluronic Acid,False,Italy
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Juvia’s Place,Exfoliator,Occasional,124.8,3.0,9166.0,200ml,Unisex,Jar,Glycerin,False,Japan
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Juvia’s Place,Highlighter,Weekly,13.15,2.8,9587.0,100ml,Unisex,Compact,Glycerin,False,Australia
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Danessa Myricks,Eyeliner,Weekly,48.23,1.7,895.0,100ml,Female,Tube,Vitamin C,True,South Korea
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Farsali,Lipstick,Daily,10.62,3.7,5923.0,30ml,Male,Bottle,Salicylic Acid,True,Italy
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Kylie Cosmetics,Highlighter,Occasional,103.62,2.0,2429.0,100ml,Unisex,Bottle,Retinol,False,UK
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Clinique,Lip Liner,Daily,105.36,3.0,8766.0,30ml,Male,Stick,Hyaluronic Acid,False,Australia
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Bite Beauty,Bronzer,Weekly,134.64,1.3,3392.0,50ml,Male,Tube,Shea Butter,True,Germany
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Glossier,Contour,Monthly,104.1,4.6,7707.0,50ml,Unisex,Spray,Aloe Vera,True,Italy
Sensitive,Magic Foundation,General skincare,No URL available,No Image,Rare Beauty,Exfoliator,Occasional,71.21,1.9,7012.0,200ml,Male,Stick,Shea Butter,False,South Korea
Combination,Magic Highlighter,General skincare,No URL available,No Image,IT Cosmetics,CC Cream,Occasional,113.09,3.3,2468.0,200ml,Unisex,Compact,Vitamin C,True,Germany
Combination,Magic Highlighter,General skincare,No URL available,No Image,Morphe,Eyeliner,Daily,75.21,3.1,4610.0,50ml,Female,Compact,Retinol,False,Italy
Combination,Magic Highlighter,General skincare,No URL available,No Image,Hourglass,Lipstick,Weekly,69.41,2.3,6844.0,50ml,Female,Spray,Retinol,False,Australia
Combination,Magic Highlighter,General skincare,No URL available,No Image,E.l.f.,Eyeliner,Weekly,10.59,4.0,7512.0,250ml,Unisex,Spray,Retinol,False,UK
Combination,Magic Highlighter,General skincare,No URL available,No Image,Clinique,Primer,Weekly,17.41,1.0,5150.0,30ml,Male,Tube,Shea Butter,False,Italy
Combination,Magic Highlighter,General skincare,No URL available,No Image,Yves Saint Laurent,Makeup Remover,Weekly,131.52,2.2,2662.0,250ml,Unisex,Spray,Vitamin C,False,Australia
Combination,Magic Highlighter,General skincare,No URL available,No Image,Charlotte Tilbury,Concealer,Weekly,25.34,1.3,3017.0,250ml,Female,Bottle,Salicylic Acid,False,Italy
Combination,Magic Highlighter,General skincare,No URL available,No Image,Danessa Myricks,Highlighter,Daily,54.91,3.3,1902.0,100ml,Unisex,Jar,Glycerin,True,France
Combination,Magic Highlighter,General skincare,No URL available,No Image,Fenty Beauty,Highlighter,Monthly,97.79,1.2,8948.0,30ml,Female,Stick,Salicylic Acid,False,USA
Combination,Magic Highlighter,General skincare,No URL available,No Image,KVD Beauty,CC Cream,Daily,55.39,4.6,2730.0,30ml,Male,Bottle,Salicylic Acid,True,USA
Combination,Magic Highlighter,General skincare,No URL available,No Image,Morphe,Setting Spray,Weekly,75.47,2.6,1478.0,250ml,Unisex,Bottle,Glycerin,False,France
Combination,Magic Highlighter,General skincare,No URL available,No Image,Tatcha,Face Mask,Monthly,48.51,4.0,6036.0,30ml,Unisex,Stick,Aloe Vera,False,Japan
Combination,Magic Highlighter,General skincare,No URL available,No Image,Bourjois,Makeup Remover,Daily,134.08,1.7,9614.0,200ml,Unisex,Jar,Glycerin,True,USA
Combination,Magic Highlighter,General skincare,No URL available,No Image,Kiehl’s,Eyeliner,Weekly,76.12,1.7,1459.0,50ml,Male,Compact,Shea Butter,True,Japan
Combination,Magic Highlighter,General skincare,No URL available,No Image,Danessa Myricks,Exfoliator,Monthly,54.53,2.2,7045.0,50ml,Unisex,Stick,Shea Butter,True,USA
Combination,Magic Highlighter,General skincare,No URL available,No Image,Fenty Beauty,Primer,Daily,128.37,3.0,7512.0,150ml,Female,Jar,Retinol,True,France
Dry,Magic Highlighter,General skincare,No URL available,No Image,Charlotte Tilbury,Mascara,Daily,110.71,2.2,5384.0,50ml,Unisex,Compact,Retinol,False,Australia
Dry,Magic Highlighter,General skincare,No URL available,No Image,Bobby Brown,Contour,Weekly,45.14,3.9,8313.0,200ml,Male,Jar,Salicylic Acid,True,USA
Dry,Magic Highlighter,General skincare,No URL available,No Image,Clinique,Setting Spray,Weekly,138.48,1.5,6506.0,100ml,Unisex,Stick,Aloe Vera,False,Germany
Dry,Magic Highlighter,General skincare,No URL available,No Image,Kylie Cosmetics,Lip Gloss,Occasional,136.98,1.7,4065.0,100ml,Unisex,Jar,Salicylic Acid,False,Australia
Dry,Magic Highlighter,General skincare,No URL available,No Image,Huda Beauty,Lipstick,Weekly,74.53,4.7,9106.0,100ml,Female,Spray,Glycerin,True,Germany
Dry,Magic Highlighter,General skincare,No URL available,No Image,IT Cosmetics,Face Mask,Monthly,21.44,3.0,6297.0,200ml,Female,Bottle,Glycerin,False,Japan
Dry,Magic Highlighter,General skincare,No URL available,No Image,E.l.f.,Lip Gloss,Weekly,147.85,1.7,3182.0,50ml,Unisex,Jar,Vitamin C,False,USA
Dry,Magic Highlighter,General skincare,No URL available,No Image,Kiehl’s,Exfoliator,Weekly,124.36,3.5,9131.0,200ml,Unisex,Compact,Salicylic Acid,True,Japan
Dry,Magic Highlighter,General skincare,No URL available,No Image,Glossier,Foundation,Monthly,20.43,2.0,1047.0,100ml,Unisex,Jar,Shea Butter,True,USA
Dry,Magic Highlighter,General skincare,No URL available,No Image,Ilia Beauty,Cleanser,Monthly,16.55,4.3,5558.0,150ml,Male,Stick,Aloe Vera,True,UK
Dry,Magic Highlighter,General skincare,No URL available,No Image,Charlotte Tilbury,Lip Liner,Occasional,125.17,1.3,1778.0,200ml,Male,Tube,Hyaluronic Acid,True,UK
Dry,Magic Highlighter,General skincare,No URL available,No Image,Bobby Brown,Mascara,Weekly,146.24,1.6,2829.0,200ml,Male,Stick,Retinol,False,Italy
Dry,Magic Highlighter,General skincare,No URL available,No Image,Ilia Beauty,Contour,Daily,61.67,3.8,8705.0,150ml,Unisex,Stick,Glycerin,False,South Korea
Dry,Magic Highlighter,General skincare,No URL available,No Image,Drunk Elephant,Cleanser,Daily,121.27,3.9,8849.0,200ml,Male,Jar,Shea Butter,False,Germany
Dry,Magic Highlighter,General skincare,No URL available,No Image,Tatcha,Highlighter,Occasional,145.5,3.4,7863.0,250ml,Female,Tube,Salicylic Acid,True,Australia
Dry,Magic Highlighter,General skincare,No URL available,No Image,Shiseido,Moisturizer,Monthly,30.01,4.2,3718.0,50ml,Unisex,Compact,Vitamin C,False,UK
Dry,Magic Highlighter,General skincare,No URL available,No Image,Danessa Myricks,Eyeliner,Monthly,128.53,4.0,5914.0,50ml,Male,Tube,Retinol,True,Germany
Dry,Magic Highlighter,General skincare,No URL available,No Image,Urban Decay,Cleanser,Daily,25.19,3.4,2418.0,250ml,Unisex,Stick,Glycerin,False,Australia
Dry,Magic Highlighter,General skincare,No URL available,No Image,Farsali,BB Cream,Monthly,92.27,1.4,7002.0,200ml,Male,Tube,Retinol,False,UK
Dry,Magic Highlighter,General skincare,No URL available,No Image,Shiseido,Cleanser,Monthly,28.55,4.6,795.0,250ml,Male,Compact,Aloe Vera,True,Germany
Dry,Magic Highlighter,General skincare,No URL available,No Image,Patrick Ta,Mascara,Weekly,73.49,1.9,1845.0,250ml,Unisex,Tube,Vitamin C,True,France
Dry,Magic Highlighter,General skincare,No URL available,No Image,Tatcha,Serum,Occasional,27.01,3.0,6471.0,150ml,Male,Tube,Shea Butter,True,Australia
Dry,Magic Highlighter,General skincare,No URL available,No Image,Urban Decay,Eye Shadow,Occasional,46.33,3.5,3723.0,250ml,Male,Compact,Retinol,False,USA
Dry,Magic Highlighter,General skincare,No URL available,No Image,Milk Makeup,CC Cream,Monthly,45.79,4.0,5168.0,100ml,Male,Stick,Salicylic Acid,False,Germany
Normal,Magic Highlighter,General skincare,No URL available,No Image,Morphe,Foundation,Monthly,94.77,4.1,7622.0,30ml,Male,Tube,Shea Butter,True,USA
Normal,Magic Highlighter,General skincare,No URL available,No Image,Sisley,Serum,Weekly,115.64,3.8,5459.0,150ml,Male,Spray,Vitamin C,True,USA
Normal,Magic Highlighter,General skincare,No URL available,No Image,Clinique,Highlighter,Daily,47.18,3.9,9757.0,30ml,Male,Spray,Hyaluronic Acid,False,USA
Normal,Magic Highlighter,General skincare,No URL available,No Image,Anastasia Beverly Hills,Lipstick,Monthly,39.28,2.7,2782.0,50ml,Male,Spray,Vitamin C,False,UK
Normal,Magic Highlighter,General skincare,No URL available,No Image,Kylie Cosmetics,Moisturizer,Daily,104.21,2.3,4419.0,200ml,Female,Compact,Retinol,False,South Korea
Normal,Magic Highlighter,General skincare,No URL available,No Image,Ilia Beauty,Concealer,Occasional,102.86,2.6,9910.0,100ml,Unisex,Stick,Salicylic Acid,False,Germany
Normal,Magic Highlighter,General skincare,No URL available,No Image,Huda Beauty,Eye Shadow,Occasional,11.2,1.4,7823.0,250ml,Female,Jar,Aloe Vera,True,USA
Normal,Magic Highlighter,General skincare,No URL available,No Image,Make Up For Ever,Face Oil,Monthly,30.23,1.7,4437.0,200ml,Unisex,Tube,Retinol,True,Germany
Normal,Magic Highlighter,General skincare,No URL available,No Image,Kylie Cosmetics,Bronzer,Monthly,115.29,2.0,8805.0,200ml,Female,Compact,Vitamin C,True,Italy
Normal,Magic Highlighter,General skincare,No URL available,No Image,ColourPop,Makeup Remover,Monthly,70.52,4.9,5788.0,200ml,Female,Spray,Retinol,False,Australia
Normal,Magic Highlighter,General skincare,No URL available,No Image,Bourjois,Bronzer,Monthly,144.59,2.2,8284.0,100ml,Male,Spray,Shea Butter,True,Italy
Normal,Magic Highlighter,General skincare,No URL available,No Image,Juvia’s Place,Highlighter,Occasional,74.82,3.0,6636.0,50ml,Unisex,Bottle,Glycerin,True,Australia
Normal,Magic Highlighter,General skincare,No URL available,No Image,Bite Beauty,BB Cream,Monthly,128.15,1.4,8792.0,30ml,Unisex,Spray,Glycerin,True,South Korea
Normal,Magic Highlighter,General skincare,No URL available,No Image,Milk Makeup,Eye Shadow,Weekly,87.89,4.6,1498.0,250ml,Unisex,Tube,Vitamin C,True,USA
Normal,Magic Highlighter,General skincare,No URL available,No Image,Charlotte Tilbury,Eyeliner,Weekly,58.86,3.1,3631.0,50ml,Male,Spray,Retinol,True,Australia
Normal,Magic Highlighter,General skincare,No URL available,No Image,ColourPop,Contour,Weekly,64.71,1.7,8423.0,100ml,Male,Spray,Shea Butter,True,Italy
Normal,Magic Highlighter,General skincare,No URL available,No Image,Becca,Concealer,Monthly,34.93,1.4,1411.0,150ml,Male,Tube,Vitamin C,True,UK
Normal,Magic Highlighter,General skincare,No URL available,No Image,Sisley,Lip Gloss,Occasional,147.65,3.6,2648.0,30ml,Unisex,Compact,Hyaluronic Acid,False,USA
Normal,Magic Highlighter,General skincare,No URL available,No Image,E.l.f.,Contour,Weekly,122.74,3.2,1898.0,30ml,Female,Compact,Vitamin C,False,USA
Normal,Magic Highlighter,General skincare,No URL available,No Image,Tatcha,Serum,Weekly,28.37,2.9,8828.0,30ml,Unisex,Stick,Hyaluronic Acid,True,UK
Normal,Magic Highlighter,General skincare,No URL available,No Image,Milk Makeup,Mascara,Weekly,100.08,1.9,8540.0,50ml,Male,Compact,Hyaluronic Acid,True,Germany
Normal,Magic Highlighter,General skincare,No URL available,No Image,KVD Beauty,Highlighter,Daily,101.91,1.5,3538.0,200ml,Male,Tube,Shea Butter,False,Japan
Normal,Magic Highlighter,General skincare,No URL available,No Image,Becca,Powder,Weekly,32.03,1.1,3809.0,30ml,Female,Compact,Vitamin C,False,UK
Normal,Magic Highlighter,General skincare,No URL available,No Image,Glossier,Contour,Occasional,23.65,3.9,4750.0,50ml,Male,Bottle,Aloe Vera,True,Germany
Normal,Magic Highlighter,General skincare,No URL available,No Image,Rare Beauty,Concealer,Occasional,114.32,1.3,3860.0,50ml,Male,Bottle,Salicylic Acid,False,France
Normal,Magic Highlighter,General skincare,No URL available,No Image,Tatcha,Cleanser,Daily,62.38,1.8,7033.0,250ml,Female,Tube,Retinol,False,Japan
Normal,Magic Highlighter,General skincare,No URL available,No Image,Milk Makeup,Lipstick,Monthly,133.46,4.8,2560.0,100ml,Female,Bottle,Retinol,True,Italy
Normal,Magic Highlighter,General skincare,No URL available,No Image,Too Faced,Foundation,Weekly,98.42,4.4,988.0,50ml,Female,Bottle,Hyaluronic Acid,True,Germany
Oily,Magic Highlighter,General skincare,No URL available,No Image,IT Cosmetics,Lip Liner,Occasional,141.34,4.9,9617.0,200ml,Female,Jar,Aloe Vera,True,Japan
Oily,Magic Highlighter,General skincare,No URL available,No Image,Juvia’s Place,Face Oil,Monthly,33.69,1.7,9821.0,50ml,Unisex,Stick,Glycerin,False,USA
Oily,Magic Highlighter,General skincare,No URL available,No Image,Bourjois,BB Cream,Occasional,147.86,1.5,4744.0,100ml,Male,Compact,Retinol,True,UK
Oily,Magic Highlighter,General skincare,No URL available,No Image,Juvia’s Place,Lipstick,Daily,86.04,3.3,163.0,150ml,Unisex,Spray,Glycerin,True,Australia
Oily,Magic Highlighter,General skincare,No URL available,No Image,Milk Makeup,Makeup Remover,Monthly,149.47,3.8,2187.0,30ml,Male,Bottle,Aloe Vera,False,USA
Oily,Magic Highlighter,General skincare,No URL available,No Image,Danessa Myricks,Bronzer,Monthly,35.29,2.2,8439.0,50ml,Female,Tube,Glycerin,True,USA
Oily,Magic Highlighter,General skincare,No URL available,No Image,NARS,Foundation,Monthly,148.01,1.3,601.0,100ml,Male,Stick,Shea Butter,True,France
Oily,Magic Highlighter,General skincare,No URL available,No Image,Too Faced,CC Cream,Monthly,16.54,4.4,4961.0,200ml,Female,Compact,Vitamin C,False,Japan
Oily,Magic Highlighter,General skincare,No URL available,No Image,Laura Mercier,Foundation,Monthly,58.16,2.6,9035.0,100ml,Female,Tube,Aloe Vera,True,Japan
Oily,Magic Highlighter,General skincare,No URL available,No Image,RMS Beauty,Foundation,Weekly,148.43,2.4,7448.0,200ml,Female,Compact,Vitamin C,True,UK
Oily,Magic Highlighter,General skincare,No URL available,No Image,Make Up For Ever,Makeup Remover,Monthly,100.8,4.4,573.0,50ml,Unisex,Jar,Glycerin,True,France
Oily,Magic Highlighter,General skincare,No URL available,No Image,Patrick Ta,Mascara,Occasional,19.23,4.8,5472.0,100ml,Male,Spray,Aloe Vera,True,Italy
Oily,Magic Highlighter,General skincare,No URL available,No Image,Patrick Ta,Setting Spray,Monthly,88.56,1.8,700.0,30ml,Female,Spray,Aloe Vera,False,Australia
Oily,Magic Highlighter,General skincare,No URL available,No Image,KVD Beauty,Exfoliator,Daily,60.84,4.1,6203.0,200ml,Female,Compact,Vitamin C,False,Italy
Oily,Magic Highlighter,General skincare,No URL available,No Image,Kylie Cosmetics,Bronzer,Monthly,54.41,2.1,1777.0,100ml,Male,Spray,Hyaluronic Acid,False,France
Oily,Magic Highlighter,General skincare,No URL available,No Image,Perricone MD,Bronzer,Weekly,50.0,4.6,9346.0,50ml,Female,Stick,Shea Butter,False,Japan
Oily,Magic Highlighter,General skincare,No URL available,No Image,Danessa Myricks,BB Cream,Weekly,29.46,4.0,7408.0,150ml,Female,Tube,Salicylic Acid,True,Australia
Oily,Magic Highlighter,General skincare,No URL available,No Image,Anastasia Beverly Hills,Face Mask,Monthly,126.96,3.0,7663.0,30ml,Female,Jar,Aloe Vera,True,USA
Oily,Magic Highlighter,General skincare,No URL available,No Image,Bite Beauty,Cleanser,Monthly,28.25,3.3,4522.0,30ml,Female,Bottle,Shea Butter,True,Australia
Oily,Magic Highlighter,General skincare,No URL available,No Image,Fenty Beauty,Lipstick,Daily,145.62,4.2,244.0,250ml,Male,Bottle,Hyaluronic Acid,False,UK
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Too Faced,Face Oil,Weekly,100.75,2.0,270.0,250ml,Female,Bottle,Salicylic Acid,True,South Korea
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Yves Saint Laurent,Eye Shadow,Occasional,13.27,4.8,9673.0,200ml,Male,Compact,Salicylic Acid,False,Italy
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,NARS,Makeup Remover,Daily,16.83,2.0,4343.0,250ml,Female,Tube,Retinol,False,USA
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Milk Makeup,Primer,Weekly,111.27,2.0,4614.0,30ml,Female,Jar,Salicylic Acid,False,Australia
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Anastasia Beverly Hills,Cleanser,Monthly,86.47,2.7,4197.0,150ml,Male,Tube,Glycerin,True,UK
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Becca,Bronzer,Monthly,94.06,5.0,6493.0,200ml,Male,Spray,Hyaluronic Acid,True,Italy
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,IT Cosmetics,CC Cream,Occasional,43.57,1.5,3558.0,250ml,Female,Compact,Glycerin,True,France
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Kiehl’s,Eye Shadow,Weekly,81.69,1.6,4253.0,100ml,Male,Stick,Aloe Vera,False,Japan
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Kiehl’s,Cleanser,Weekly,12.22,2.1,2617.0,250ml,Unisex,Stick,Salicylic Acid,False,UK
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Charlotte Tilbury,Bronzer,Monthly,83.33,4.3,9907.0,250ml,Male,Jar,Hyaluronic Acid,True,France
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Patrick Ta,Primer,Monthly,55.04,4.9,5010.0,200ml,Female,Spray,Retinol,True,Japan
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Drunk Elephant,Cleanser,Daily,15.94,3.9,5354.0,200ml,Female,Bottle,Salicylic Acid,False,Italy
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Yves Saint Laurent,Moisturizer,Daily,49.7,2.5,4168.0,50ml,Female,Stick,Glycerin,False,Australia
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Milk Makeup,Bronzer,Weekly,142.42,3.9,9269.0,200ml,Male,Stick,Aloe Vera,True,Australia
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Drunk Elephant,CC Cream,Occasional,22.78,2.2,6829.0,250ml,Unisex,Spray,Aloe Vera,False,Japan
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,KVD Beauty,Contour,Daily,59.81,3.4,8375.0,150ml,Male,Tube,Glycerin,True,UK
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Drunk Elephant,Face Oil,Weekly,95.93,4.1,7531.0,30ml,Female,Tube,Retinol,False,Germany
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Tarte,Exfoliator,Daily,84.25,3.3,871.0,150ml,Female,Tube,Salicylic Acid,True,Japan
Sensitive,Magic Highlighter,General skincare,No URL available,No Image,Morphe,Contour,Monthly,147.1,5.0,6561.0,100ml,Female,Bottle,Retinol,False,UK
Combination,Magic Lip Gloss,General skincare,No URL available,No Image,Ilia Beauty,Concealer,Weekly,37.75,1.4,9410.0,250ml,Male,Stick,Shea Butter,False,Japan
Combination,Magic Lip Gloss,General skincare,No URL available,No Image,Tatcha,Eye Shadow,Weekly,125.28,4.7,7765.0,30ml,Unisex,Spray,Hyaluronic Acid,False,Australia
Combination,Magic Lip Gloss,General skincare,No URL available,No Image,Urban Decay,Highlighter,Occasional,128.25,4.3,81.0,50ml,Unisex,Spray,Retinol,False,USA
